rank,db,smiles,canon,component,n_atoms,est_cost_h,is_validation
1,PI1M,CC(=O)CCCCCCCCCCC(C)C,CC(=O)CCCCCCCCCCC(C)C,coverage,46.0,1.7287872538090088,False
2,omics,*c1ccc(Oc2ccc(-c3ccc(-c4cc(-c5ccc(Oc6ccc(-c7cc(*)nc8ccccc78)cc6)cc5)c5ccccc5n4)cc3)cc2)cc1,Cc1ccc(Oc2ccc(-c3ccc(-c4cc(-c5ccc(Oc6ccc(-c7cc(C)nc8ccccc78)cc6)cc5)c5ccccc5n4)cc3)cc2)cc1,coverage,90.0,10.515630927412102,False
3,PI1M,Cc1sc(C)c(I)c1Br,Cc1sc(C)c(I)c1Br,feature,15.0,0.08484152603281661,False
4,PI1M,CC(=O)N(C)c1ccc(C(F)(F)F)cc1,CC(=O)N(C)c1ccc(C(F)(F)F)cc1,coverage,25.0,0.33525989756051233,False
5,OMG,*OCc1cc(F)ccc1COC(=O)C1CSCN1C(=O)C(*)=O,COCc1cc(F)ccc1COC(=O)C1CSCN1C(=O)C(C)=O,random,42.0,1.3535165667832443,True
6,PI1M,CO[SiH](C)n1cccc1,CO[SiH](C)n1cccc1,feature,20.0,0.1839474081746623,False
7,PI1M,CC(=O)N[PH](C)(Cl)Cl,CC(=O)N[PH](C)(Cl)Cl,feature,16.0,0.1009266220636141,False
8,PI1M,CCCCNC(=O)CCCCCCCCCCCCCCCSC,CCCCNC(=O)CCCCCCCCCCCCCCCSC,coverage,67.0,4.754055023099274,False
9,OMG,*OCCSCCNCCSCCOC(=O)C1CSCN1C(=O)C(*)=O,COCCSCCNCCSCCOC(=O)C1CSCN1C(=O)C(C)=O,random,54.0,2.6611061495015087,True
10,OMG,*OCC1(COC(=O)C2=CC(C)C=C(C(*)=O)O2)CC(=O)C1,COCC1(COC(=O)C2=CC(C)C=C(C(C)=O)O2)CC(=O)C1,random,42.0,1.3535165667832443,True
11,OMG,*OCCOCCOC(=O)C1CCC(C(*)=O)O1,COCCOCCOC(=O)C1CCC(C(C)=O)O1,coverage,38.0,1.0340483823546922,False
12,omics,*c1ccc(Oc2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)c(C)c1,Cc1ccc(Oc2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2)c(C)c1,coverage,63.0,4.0285528241783775,False
13,OMG,*OCC12C3C4C1C1C2C3C41COC(=O)CC1CS(=O)(=O)CC1CC(*)=O,COCC12C3C4C1C1C2C3C41COC(=O)CC1CS(=O)(=O)CC1CC(C)=O,dopt,53.0,2.5306091492877196,False
14,PI1M,COC(=O)OC(=O)c1ccc(/N=N/c2ccc(C#N)cc2)cc1C,COC(=O)OC(=O)c1ccc(/N=N/c2ccc(C#N)cc2)cc1C,random,37.0,0.9624665003915307,True
15,PI1M,CCCCCCOC(=O)Nc1ccccc1C(=O)OC,CCCCCCOC(=O)Nc1ccccc1C(=O)OC,coverage,41.0,1.2685615949723126,False
